#ncounts	stability	slowest	next-slowest
409006400	   0.365	   6789.03500155	   4771.72351210
410510100	   0.365	   6792.00105821	   4780.08427122
412013800	   0.360	   6772.03269843	   4764.98224674
413517500	   0.360	   6780.86556718	   4775.33962233
415021200	   0.360	   6789.73690251	   4785.02310856
416524900	   0.361	   6811.70761706	   4800.35283387
418028600	   0.360	   6821.47671435	   4808.98921899
419532300	   0.361	   6835.11880701	   4818.85630694
421036000	   0.361	   6852.10602688	   4834.63622408
422539700	   0.360	   6862.87004027	   4846.22789019
424043400	   0.360	   6860.40135646	   4847.80093979
425547100	   0.360	   6878.45572034	   4865.34957405
427050800	   0.362	   6897.91339741	   4876.96674842
428554500	   0.359	   6879.26836844	   4880.48128927
430058200	   0.360	   6885.66548467	   4888.92171954
431561900	   0.360	   6903.24726072	   4904.47738862
433065600	   0.360	   6913.41945970	   4914.61877836
434569300	   0.361	   6925.38660542	   4923.04738511
436073000	   0.361	   6933.32498509	   4932.33540049
437576700	   0.362	   6960.86677186	   4948.64283702
439080400	   0.360	   6943.10632080	   4950.34797226
440584100	   0.361	   6959.66142150	   4962.79592983
442087800	   0.361	   6972.34135560	   4976.28875664
443591500	   0.358	   6994.08327894	   4974.97155771
445095200	   0.357	   7000.98410637	   4983.97721421
446598900	   0.358	   7038.63505503	   4978.38905041
448102600	   0.361	   6803.16838750	   4757.80089828
449606300	   0.362	   6814.34792156	   4769.15865294
451110000	   0.362	   6819.48001828	   4779.39311008
452613700	   0.363	   6837.33102175	   4791.62801329
454117400	   0.363	   6847.18626402	   4802.23823986
455621100	   0.363	   6834.80400214	   4804.96987826
457124800	   0.362	   6848.03617427	   4816.98058192
458628500	   0.361	   6853.77495681	   4825.47501397
460132200	   0.361	   6867.20939804	   4838.95553714
461635900	   0.361	   6878.73668297	   4848.50995018
463139600	   0.361	   6908.17900852	   4841.82610030
464643300	   0.363	   6929.17442029	   4855.81727905
466147000	   0.363	   6939.86533598	   4866.36946473
467650700	   0.364	   6948.18920111	   4868.11504882
469154400	   0.364	   6959.50353152	   4877.55118438
470658100	   0.365	   6982.03993677	   4891.92503355
472161800	   0.365	   6995.62099556	   4903.49675846
473665500	   0.365	   7011.38128741	   4911.26168597
475169200	   0.366	   7035.08488716	   4927.20486779
476672900	   0.366	   7043.01419495	   4936.42896243
478176600	   0.365	   7047.39368732	   4946.52985638
479680300	   0.365	   7056.11924187	   4955.18199475
481184000	   0.367	   6793.00775985	   4666.76312480
482687700	   0.367	   6800.79978144	   4678.62635349
484191400	   0.365	   6801.40828531	   4691.84041822
485695100	   0.366	   6813.27422962	   4701.66862687
487198800	   0.367	   6828.35059669	   4711.13974554
488702500	   0.369	   6843.07491509	   4724.27723911
490206200	   0.370	   6862.86680708	   4737.09924297
491709900	   0.370	   6879.65738317	   4748.31061648
493213600	   0.371	   6895.83877078	   4757.90056121
494717300	   0.369	   6885.74815505	   4763.67301355
496221000	   0.369	   6891.12279982	   4773.72182422
497724700	   0.369	   6906.60917791	   4787.39048193
499228400	   0.370	   6924.24292826	   4801.56902398
500732100	   0.365	   6878.82416326	   4802.82138862
502235800	   0.364	   6886.09833094	   4811.11359848
503739500	   0.363	   6875.99098154	   4817.69698212
505243200	   0.363	   6888.29693082	   4828.46588714
506746900	   0.360	   6883.80439716	   4816.94414685
508250600	   0.361	   6891.36966139	   4824.33203907
509754300	   0.361	   6901.44079492	   4822.40759030
511258000	   0.362	   6919.46607760	   4835.73000309
512761700	   0.362	   6933.43207901	   4847.01999729
514265400	   0.357	   6898.61363237	   4844.60552927
515769100	   0.358	   6910.21135779	   4854.84941395
517272800	   0.358	   6917.05576023	   4863.07915730
518776500	   0.358	   6923.25301004	   4872.39973377
520280200	   0.358	   6928.10268497	   4881.70166427
521783900	   0.354	   6891.81294453	   4875.42803048
523287600	   0.354	   6905.15330090	   4882.72563154
524791300	   0.354	   6910.27507274	   4891.26097767
526295000	   0.355	   6916.99923558	   4897.07818261
527798700	   0.355	   6919.99392307	   4903.30150777
529302400	   0.354	   6931.26128226	   4914.30608575
530806100	   0.355	   6943.31768593	   4922.43643613
532309800	   0.354	   6945.65290657	   4927.55914853
533813500	   0.355	   6955.10334489	   4934.64155414
535317200	   0.355	   6953.70995624	   4936.96156538
536820900	   0.354	   6939.72524237	   4932.03315660
538324600	   0.350	   6902.83660431	   4921.60959730
539828300	   0.351	   6916.85741004	   4930.03987546
541332000	   0.351	   6931.22232953	   4935.31949566
542835700	   0.352	   6944.62254685	   4941.12463241
544339400	   0.353	   6966.51195375	   4954.16845285
545843100	   0.352	   6975.53915559	   4961.00159733
547346800	   0.352	   6986.94171034	   4970.41354693
548850500	   0.348	   6959.87949768	   4961.42380175
550354200	   0.348	   6980.09299380	   4958.59081691
551857900	   0.349	   6995.39226365	   4968.36260574
553361600	   0.349	   7003.47350063	   4975.06933983
554865300	   0.349	   7013.52180524	   4981.74565787
556369000	   0.349	   7028.28244802	   4980.31897829
557872700	   0.346	   7008.49634790	   4973.27610477
559376400	   0.347	   7033.41108864	   4972.64348726
560880100	   0.347	   7054.20430643	   4969.12068142
562383800	   0.347	   7063.57971317	   4974.99420811
563887500	   0.347	   7076.24988112	   4978.33230936
565391200	   0.346	   7084.16254644	   4985.02975866
566894900	   0.347	   7093.56625132	   4988.77515667
568398600	   0.347	   7106.48637273	   4996.55701359
569902300	   0.348	   7121.68489070	   5006.73963462
571406000	   0.348	   7127.54066420	   5011.07464774
572909700	   0.348	   7135.31979765	   5016.79279103
574413400	   0.347	   7146.14970821	   5023.17974446
575917100	   0.347	   7160.93804530	   5031.88184649
577420800	   0.348	   7172.56644332	   5039.41069468
578924500	   0.347	   7182.41938773	   5045.42640375
580428200	   0.348	   7196.34150356	   5055.46984817
581931900	   0.348	   7210.80086992	   5065.25436656
583435600	   0.348	   7226.34702101	   5073.82547832
584939300	   0.348	   7244.68269792	   5082.65843897
586443000	   0.347	   7249.06651071	   5084.87977543
587946700	   0.347	   7262.93765460	   5092.28321483
589450400	   0.347	   7279.68904771	   5096.71817660
590954100	   0.348	   7294.35909189	   5105.85823975
592457800	   0.344	   7265.95253603	   5085.10781134
593961500	   0.345	   7276.76047586	   5085.54912611
595465200	   0.345	   7288.09235408	   5091.45651438
596968900	   0.345	   7294.38258035	   5093.38585448
598472600	   0.345	   7317.31077401	   5105.62200086
599976300	   0.345	   7325.86249916	   5112.13671489
601480000	   0.345	   7335.91173306	   5116.57135041
602983700	   0.341	   7318.89951932	   5100.15895030
604487400	   0.342	   7334.54225768	   5110.40575021
605991100	   0.341	   7348.25908499	   5115.77470840
607494800	   0.341	   7361.16666296	   5120.07971988
608998500	   0.341	   7373.67417732	   5127.05833537
610502200	   0.340	   7388.08321478	   5131.10412428
612005900	   0.341	   7411.17113567	   5141.46595011
613509600	   0.340	   7416.04926601	   5137.90702122
615013300	   0.341	   7426.68651414	   5143.66387456
616517000	   0.341	   7438.71749050	   5147.91441487
618020700	   0.342	   7457.60894407	   5156.63181269
619524400	   0.343	   7470.59209027	   5161.69196390
621028100	   0.344	   7490.29519028	   5170.82507929
622531800	   0.345	   7502.72300304	   5175.56451787
624035500	   0.345	   7512.97278111	   5180.62600534
625539200	   0.345	   7539.60891659	   5177.37144403
627042900	   0.346	   7556.81173710	   5184.10153980
628546600	   0.346	   7574.42314403	   5191.64160935
630050300	   0.347	   7592.28754268	   5200.02546607
631554000	   0.348	   7611.34044921	   5211.83244144
633057700	   0.348	   7627.39810198	   5216.24095199
634561400	   0.348	   7639.54882028	   5218.00490009
636065100	   0.349	   7655.18928811	   5228.15829067
637568800	   0.349	   7678.70650758	   5238.73015594
639072500	   0.350	   7689.06983220	   5245.37952297
640576200	   0.351	   7165.25985111	   5069.51300033
642079900	   0.353	   7181.21433587	   5075.99024322
643583600	   0.352	   7183.64606642	   5078.96131252
645087300	   0.352	   7199.84682561	   5086.15545513
